Datum;Uhrzeit;Deutschland/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh];Österreich[Euro/MWh];Deutschland/Österreich/Luxemburg[Euro/MWh]
02.06.2019;00:00;28,54;28,54;28,54;27,03;-;28,49;-;4,99;29,31;28,3;27,97;27,97;28,3;-
02.06.2019;01:00;29;29;29;28,55;-;28,99;-;4,76;28,51;28,93;24,53;24,53;28,93;-
02.06.2019;02:00;29,11;29,11;29,11;27,5;-;31,52;-;3,55;27,17;28,68;21,7;21,7;28,68;-
02.06.2019;03:00;28,03;28,03;28,03;18,08;-;32,88;-;2,85;24,05;26,08;19,55;19,55;26,08;-
02.06.2019;04:00;27,79;27,79;27,79;12,95;-;27,5;-;2,3;21,93;25,44;15;15;25,44;-
02.06.2019;05:00;25,2;25,2;25,2;10,39;-;24,52;-;2,96;20,02;22,89;10,2;10,2;22,89;-
02.06.2019;06:00;24,79;24,79;24,79;6,42;-;23,98;-;4,77;18,85;21,95;11,97;11,97;21,95;-
02.06.2019;07:00;23,31;23,31;23,31;11,73;-;22,74;-;22,64;18,73;23,31;15;15;23,31;-
02.06.2019;08:00;25,22;25,22;25,22;13,74;-;27,5;-;25,22;21,91;25,22;18,1;18,32;25,22;-
02.06.2019;09:00;19,38;29,91;29,91;13,86;-;28,54;-;29,91;20,85;19,38;17,2;19,73;19,38;-
02.06.2019;10:00;11,76;30,94;30,94;11,76;-;11,76;-;30,94;16,46;11,76;15;18,32;11,76;-
02.06.2019;11:00;11,9;30,07;30,07;11,9;-;11,9;-;30,07;17,07;11,9;13,4;18,12;11,9;-
02.06.2019;12:00;8,91;24,97;24,97;8,91;-;8,91;-;24,97;13,28;8,91;9,2;14,15;8,91;-
02.06.2019;13:00;3,5;20;20;3,5;-;3,5;-;20;2,01;3,5;-2,77;10,11;3,5;-
02.06.2019;14:00;-9,02;16,34;16,34;-9,02;-;-9,02;-;16,34;-1,47;0,07;-5,23;10,11;-9,02;-
02.06.2019;15:00;-0,48;20,03;20,03;-0,48;-;-0,48;-;20,03;1,05;-0,48;-2,5;10,53;-0,48;-
02.06.2019;16:00;3,5;24,17;24,17;3,5;-;3,5;-;24,17;8,05;3,5;6,16;16,43;3,5;-
02.06.2019;17:00;23,49;30,53;31,28;18,79;-;30,27;-;31,28;23,54;23,49;21,39;26,22;23,49;-
02.06.2019;18:00;31,24;31,24;32,49;25,82;-;31,74;-;32,49;30,89;31,24;29,62;31,92;31,24;-
02.06.2019;19:00;37,41;37,41;36,21;37,41;-;37,41;-;36,21;34,92;37,41;36;37,93;37,41;-
02.06.2019;20:00;38,13;37,71;37,71;38,13;-;38,13;-;37,22;36,45;38,13;37,89;41,53;38,13;-
02.06.2019;21:00;37,14;36,09;36,09;37,14;-;37,14;-;36,09;34,75;37,14;35,3;38,18;37,14;-
02.06.2019;22:00;37,12;36,94;36,94;37,12;-;37,12;-;35,36;33,04;37,12;32,75;32,75;37,12;-
02.06.2019;23:00;29,85;29,85;29,85;29,85;-;29,85;-;29,85;30,73;29,85;27,9;27,9;29,85;-
