DateTime,day_ahead_lmp (avg) (neiso)
2019-06-02 00:00:00;19,4
2019-06-02 01:00:00;18,271
2019-06-02 02:00:00;16,604
2019-06-02 03:00:00;16,771
2019-06-02 04:00:00;16,691
2019-06-02 05:00:00;15,937
2019-06-02 06:00:00;16,657
2019-06-02 07:00:00;18,307
2019-06-02 08:00:00;20,51
2019-06-02 09:00:00;20,918
2019-06-02 10:00:00;20,213
2019-06-02 11:00:00;20,626
2019-06-02 12:00:00;21,6
2019-06-02 13:00:00;21,38
2019-06-02 14:00:00;20,712
2019-06-02 15:00:00;22,56
2019-06-02 16:00:00;23,203
2019-06-02 17:00:00;25,504
2019-06-02 18:00:00;24,466
2019-06-02 19:00:00;25,431
2019-06-02 20:00:00;30,384
2019-06-02 21:00:00;23,629
2019-06-02 22:00:00;20,109
2019-06-02 23:00:00;20,198
